资产,策略类型,年化收益率,胜率,最大回撤,夏普比率
NVDA,动量策略,0.020966711656158266,0.5041095890410959,-0.6662885745285513,0.31243548872154786
NVDA,趋势跟踪策略,0.21051213283938508,0.48216833095577744,-0.6661133382937015,0.6203418705745067
GC=F,动量策略,-0.013024879407275036,0.5088919288645691,-0.2175951652565835,-0.019591040223256542
GC=F,趋势跟踪策略,-0.008669839711599736,0.50997150997151,-0.24677372895592758,0.011252683600908234
BTC-USD,动量策略,0.23027722853970078,0.4972067039106145,-0.5524335317481801,0.5437408768447733
BTC-USD,趋势跟踪策略,-0.21417285389047758,0.4909090909090909,-0.7738374052919168,-0.161709701799684
